Gilt Name,Close of Business Date,ISIN,Type,Coupon,Maturity,Clean Price,Dirty Price,Purchased_Price,Yield,Mod Duration,Accrued Interest
UKT 1.125 01/39,20/04/2023,GB00BLPK7334,Conventional,1.125,31/01/2039,65.99,66.238619,93,4.066302,13.777536,0.248619
UKT 1.125 01/39,21/04/2023,GB00BLPK7334,Conventional,1.125,31/01/2039,66.1,66.357942,102,4.055655,13.77177,0.257942
UKT 1.125 01/39,24/04/2023,GB00BLPK7334,Conventional,1.125,31/01/2039,66.18,66.44105,96,4.047371,13.770895,0.26105
UKT 1.125 01/39,25/04/2023,GB00BLPK7334,Conventional,1.125,31/01/2039,66.81,67.074157,106,3.979331,13.78321,0.264157
UKT 1.125 01/39,26/04/2023,GB00BLPK7334,Conventional,1.125,31/01/2039,66.61,66.877265,109,4.001457,13.775622,0.267265
UKT 4.25 09/39,20/04/2023,GB00B3KJDS62,Conventional,4.25,07/09/2039,102.15,102.669701,105,4.06855,11.718153,0.519701
UKT 4.25 09/39,21/04/2023,GB00B3KJDS62,Conventional,4.25,07/09/2039,102.29,102.844348,105,4.056842,11.714303,0.554348
UKT 4.25 09/39,24/04/2023,GB00B3KJDS62,Conventional,4.25,07/09/2039,102.38,102.945897,94,4.049348,11.714288,0.565897
UKT 4.25 09/39,25/04/2023,GB00B3KJDS62,Conventional,4.25,07/09/2039,103.21,103.787446,108,3.980833,11.735819,0.577446
UKT 4.25 09/39,26/04/2023,GB00B3KJDS62,Conventional,4.25,07/09/2039,102.95,103.538995,100,4.00218,11.725621,0.588995
UKT 4.25 12/40,20/04/2023,GB00B6460505,Conventional,4.25,07/12/2040,102.05,103.626236,106,4.085392,12.199055,1.576236
UKT 4.25 12/40,21/04/2023,GB00B6460505,Conventional,4.25,07/12/2040,102.2,103.811264,102,4.073495,12.196023,1.611264
UKT 4.25 12/40,24/04/2023,GB00B6460505,Conventional,4.25,07/12/2040,102.3,103.92294,98,4.065587,12.196684,1.62294
UKT 4.25 12/40,25/04/2023,GB00B6460505,Conventional,4.25,07/12/2040,103.17,104.804615,104,3.997293,12.222919,1.634615
UKT 4.25 12/40,26/04/2023,GB00B6460505,Conventional,4.25,07/12/2040,102.83,104.476291,100,4.023871,12.208974,1.646291
UKT 1.25 10/41,20/04/2023,GB00BJQWYH73,Conventional,1.25,22/10/2041,63.43,63.426566,100,4.08606,15.607048,-0.003434
UKT 1.25 10/41,21/04/2023,GB00BJQWYH73,Conventional,1.25,22/10/2041,63.56,63.566831,92,4.074029,15.602985,0.006831
UKT 1.25 10/41,24/04/2023,GB00BJQWYH73,Conventional,1.25,22/10/2041,63.65,63.660246,103,4.065323,15.603188,0.010246
UKT 1.25 10/41,25/04/2023,GB00BJQWYH73,Conventional,1.25,22/10/2041,64.35,64.363661,109,3.99564,15.623521,0.013661
UKT 1.25 10/41,26/04/2023,GB00BJQWYH73,Conventional,1.25,22/10/2041,64.09,64.107077,101,4.021911,15.612178,0.017077
UKT 4.5 12/42,20/04/2023,GB00B1VWPJ53,Conventional,4.5,07/12/2042,105.4,107.068956,103,4.096633,12.948705,1.668956
UKT 4.5 12/42,21/04/2023,GB00B1VWPJ53,Conventional,4.5,07/12/2042,105.57,107.276044,93,4.084287,12.947175,1.706044
